,Event,Event_encode
71274,"Wrestling Men's Lightweight, Greco-Roman",359
80301,"Wrestling Men's Middleweight, Freestyle",360
78964,"Wrestling Men's Middleweight, Greco-Roman",361
148632,"Wrestling Men's Super-Heavyweight, Freestyle",362
71545,"Wrestling Men's Super-Heavyweight, Greco-Roman",363
114994,"Wrestling Men's Welterweight, Freestyle",364
78698,"Wrestling Men's Welterweight, Greco-Roman",365
133648,"Wrestling Women's Featherweight, Freestyle",366
157215,"Wrestling Women's Flyweight, Freestyle",367
132465,"Wrestling Women's Heavyweight, Freestyle",368
124976,"Wrestling Women's Light-Heavyweight, Freestyle",369
135485,"Wrestling Women's Lightweight, Freestyle",370
157358,"Wrestling Women's Middleweight, Freestyle",371
